"uk	RT @FCShakhtar: 💬 «Показати"	 наскільки сильною є наша Україна» 🇺🇦  Тарас Степаненко – про благодійний тур «Шахтаря»	 збір національної кома…						
"ru	RT @protest_da: Немецкие гаубицы Pzh 2000 куда-то едут  #Украина #Ukraine #UkraineWar #RussiaUkraineWar #war #UkraineRussianWar #WARINUKRAI…"								
"ru	RT @S_vivat: ВСУ🇺🇦 нанесли ракетный удар по пункту управления армии РФ на границе Луганской и Харьковской областей. Уничтожено  много техни…"								
"uk	Russian tank burning #Ukraine Як палає російська техніка – можна дивитися вічно! https://t.co/FzoPvf4slp"								
"uk	RT @mil_in_ua: 🇺🇦У Київській області поліцейські знайшли покинуту техніку окупантів та російського кулеметника"	 який переховувався  Окупант…							
"uk	RT @WarSvitla: По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Просто вночі ріжуть"	 як скотину. Орки намагаются цю і…							
"uk	⚡️львів терміново Шахрайка відбирає в дітей внутрішньо переміщених осіб солодощі😡 #angelinajolie #lviv #lvivgirls #ukraine (Ukraine): https://t.co/dJssQgoH2V"								
"uk	RT @mil_in_ua: 🇺🇦Збройні Сили України на східному напрямку"	 знищили склад з боєприпасами російських окупаційних військ  Ворог розмістив сві…							
"uk	RT @digidiploTaiwan: Що спільного між Тайванем та Україною? Ми перетворюємо ракети наших сусідів на щось корисне. Ми славимо хоробрість укр…"								
"uk	RT @inJesus1994: #Ukraine Жителі Демидіва навмисно затопили своє село разом із величезними полями та болотами навколо нього"	 створивши боло…							
"ru	Начальник Генштаба РФ был в Изюме"	 но успел поехать до обстрела – NYT https://t.co/UuoBNfcpRZ #Russia #Ukraine							
"uk	Я - Львів! Львів - це Україна https://t.co/ONkaEYCV1X via @YouTube #Ukraine #ArmUkraineNow #RussiaWarCrimes #StandWithUkraine #ProtectUASky #GripenTillUkraina #GripenToUkraine"								
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"ru	RT @S_vivat: Русский фашизм (очень кратко). Российским великодержавным шовинистам-фашистам"	 путинистам	 имперцам и прочей рашистской нечест…						
"ru	RT @Ukraine_Twi: Волонтеры из Японии🇯🇵 на защите Украины🇺🇦 #Ukraine #Russia #War #RussianUkrainianWar  #Украина #Россия #война https://t.co…"								
"ru	""Гутерриш уехал из Украины и пообещал """"не сдаваться"""" https://t.co/xVCWiyKR9t #Russia #Ukraine"""								
